"","t","mic"
"1",1441979968.3,28151
"2",1441979968.3,28071
"3",1441979968.3,28095
"4",1441979968.3,27961
"5",1441979968.3,28071
"6",1441979968.3,28133
"7",1441979968.3,28211
"8",1441979968.3,27991
"9",1441979968.3,28147
"10",1441979968.3,28159
"11",1441979968.3,28215
"12",1441979968.3,28199
"13",1441979968.3,28075
"14",1441979968.3,28301
"15",1441979968.3,28109
"16",1441979968.3,28151
"17",1441979968.3,28103
"18",1441979968.3,28343
"19",1441979968.3,28223
"20",1441979968.3,28079
"21",1441979968.3,28255
"22",1441979968.3,28215
"23",1441979968.3,27951
"24",1441979968.3,28231
"25",1441979968.3,28015
"26",1441979968.3,27927
"27",1441979968.31,27967
"28",1441979968.31,28159
"29",1441979968.31,28059
"30",1441979968.31,27967
"31",1441979968.31,27931
"32",1441979968.31,28095
"33",1441979968.31,27991
"34",1441979968.31,27943
"35",1441979968.31,27935
"36",1441979968.31,27903
"37",1441979968.31,28287
"38",1441979968.31,28599
"39",1441979968.31,27727
"40",1441979968.31,27571
"41",1441979968.31,27959
"42",1441979968.31,27315
"43",1441979968.31,28095
"44",1441979968.31,27955
"45",1441979968.31,27635
"46",1441979968.31,28031
"47",1441979968.31,28207
"48",1441979968.31,27915
"49",1441979968.31,27757
"50",1441979968.31,27999
"51",1441979968.31,27903
"52",1441979968.31,28011
"53",1441979968.31,28511
"54",1441979968.31,28479
"55",1441979968.31,27883
"56",1441979968.31,28111
"57",1441979968.31,27879
"58",1441979968.31,27687
"59",1441979968.31,27835
"60",1441979968.31,27861
"61",1441979968.32,28067
"62",1441979968.32,27951
"63",1441979968.32,27903
"64",1441979968.32,27855
"65",1441979968.32,27903
"66",1441979968.32,27983
"67",1441979968.32,27791
"68",1441979968.32,28187
"69",1441979968.32,27927
"70",1441979968.32,27903
"71",1441979968.32,27643
"72",1441979968.32,27947
"73",1441979968.32,28011
"74",1441979968.32,27835
"75",1441979968.32,27955
"76",1441979968.32,27775
"77",1441979968.32,27887
"78",1441979968.32,28055
"79",1441979968.32,27861
"80",1441979968.32,27819
"81",1441979968.32,27791
"82",1441979968.32,28143
"83",1441979968.32,27903
"84",1441979968.32,27871
"85",1441979968.32,27579
"86",1441979968.32,28143
"87",1441979968.32,27671
"88",1441979968.32,28179
"89",1441979968.32,27647
"90",1441979968.32,28087
"91",1441979968.32,27615
"92",1441979968.32,27839
"93",1441979968.32,27663
"94",1441979968.33,28159
"95",1441979968.33,27695
"96",1441979968.33,27883
"97",1441979968.33,27741
"98",1441979968.33,28459
"99",1441979968.33,28159
"100",1441979968.33,28007
"101",1441979968.33,27871
"102",1441979968.33,27293
"103",1441979968.33,28155
"104",1441979968.33,28075
"105",1441979968.33,27803
"106",1441979968.33,28111
"107",1441979968.33,27911
"108",1441979968.33,27967
"109",1441979968.33,27975
"110",1441979968.33,27903
"111",1441979968.33,28023
"112",1441979968.33,27967
"113",1441979968.33,27987
"114",1441979968.33,28091
"115",1441979968.33,27887
"116",1441979968.33,28151
"117",1441979968.33,27895
"118",1441979968.33,28031
"119",1441979968.33,27847
"120",1441979968.33,27963
"121",1441979968.33,27899
"122",1441979968.33,28007
"123",1441979968.33,28005
"124",1441979968.33,27923
"125",1441979968.33,28055
"126",1441979968.33,27703
"127",1441979968.34,28211
"128",1441979968.34,27695
"129",1441979968.34,28127
"130",1441979968.34,27579
"131",1441979968.34,27935
"132",1441979968.34,27943
"133",1441979968.34,28063
"134",1441979968.34,27747
"135",1441979968.34,27693
"136",1441979968.34,27775
"137",1441979968.34,27695
"138",1441979968.34,27807
"139",1441979968.34,28255
"140",1441979968.34,27693
"141",1441979968.34,27827
"142",1441979968.34,27947
"143",1441979968.34,27887
"144",1441979968.34,27927
"145",1441979968.34,28079
"146",1441979968.34,27723
"147",1441979968.34,28061
"148",1441979968.34,27939
"149",1441979968.34,27911
"150",1441979968.34,28039
"151",1441979968.34,27879
"152",1441979968.34,27887
"153",1441979968.34,27807
"154",1441979968.34,27847
"155",1441979968.34,27787
"156",1441979968.34,27911
"157",1441979968.34,27743
"158",1441979968.34,28239
"159",1441979968.34,27885
"160",1441979968.34,27543
"161",1441979968.35,28007
"162",1441979968.35,27663
"163",1441979968.35,28159
"164",1441979968.35,27811
"165",1441979968.35,27695
"166",1441979968.35,27901
"167",1441979968.35,27855
"168",1441979968.35,28255
"169",1441979968.35,27805
"170",1441979968.35,27853
"171",1441979968.35,27887
"172",1441979968.35,28045
"173",1441979968.35,27767
"174",1441979968.35,27851
"175",1441979968.35,28023
"176",1441979968.35,27711
"177",1441979968.35,27903
"178",1441979968.35,27943
"179",1441979968.35,28075
"180",1441979968.35,28003
"181",1441979968.35,27895
"182",1441979968.35,27863
"183",1441979968.35,27959
"184",1441979968.35,27855
"185",1441979968.35,27807
"186",1441979968.35,28055
"187",1441979968.35,27891
"188",1441979968.35,27719
"189",1441979968.35,27879
